,Organization.Name,Reference.ID,Solicitation.No.,Notice.Title,Publish.Date,Classification,Notice.Type,Business.Category,Funding.Source,Funding.Instrument,Procurement.Mode,Trade.Agreement,Approved.Budget.of.the.Contract,Area.of.Delivery,Contract.Duration,Calendar.Type,Line.Item.No,Item.Name,Item.Desc,Quantity,UOM,Item.Budget,PreBid.Date,Closing.Date,Notice.Status,Award.No.,Award.Title,Award.Type,UNSPSC.Code,UNSPSC.Description,Awardee.Corporate.Title,Contract.Amount,Contract.No,Publish.Date.Award.,Award.Date,Notice.to.Proceed.Date,Contract.Efectivity.Date,Contract.End.Date,Reason.for.Award,Award.Status
48707,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5292963,"Bac 18-081B - Legal, STO, LTI",Computer Supplies and Equipment,4/17/2018,Goods,Request for Quotation (RFQ),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"190,219.28",Albay,30,Day/s,1,Computer Supplies and Equipment,Various inks and computer equipment and accesories,1,Package,"190,219.28",NULL,4/20/2018,Awarded,1830142,Computer Supplies and Equipment,Award Notice,44000000,Office Equipment and Accessories and Supplies,ALBAY COMPUTER & ELECTRONICS SUPPLIES AND REPAIRS,"117,030.00","A18-081B Legal. STO, LTI",5/9/2018,5/2/2018,5/2/2018,5/2/2018,6/2/2018,Complete items with the total lowest price,Updated
48766,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5292983,"Bac 18-081A - Legal, STO, LTI",Office Suplies,4/17/2018,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"245,697.00",Albay,30,Day/s,1,Office Supplies,Various office supplies and equipment,1,Package,"245,697.00",NULL,4/20/2018,Awarded,1830310,Office Supplies,Award Notice,44000000,Office Equipment and Accessories and Supplies,"LUCKY EDUCATIONAL SUPPLY, INC.","222,495.51",BAC 18-081A,5/9/2018,5/2/2018,5/2/2018,5/2/2018,6/2/2018,quoted the complete items with total lowest price,Updated
63732,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5303870,BAC 18 -052 GaD,Gender Sensitivity Training for GAD-FPS Members,4/20/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"151,200.00",Albay,3,Day/s,1,Gender Sensitivity Training for GAD-FPS Members,Food and Accommodation,1,Package,"151,200.00",NULL,4/23/2018,Awarded,1830095,Gender Sensitivity Training for GAD-FPS Members,Award Notice,90110000,Hotels and lodging and meeting facilities,"LKY RESORTS AND HOTELS, INC","151,200.00",A18-052 GaD,5/9/2018,4/24/2018,4/24/2018,4/25/2018,4/27/2018,LCRB,Updated
93118,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5323632,BAC 18-081 Legal,Region-Wide Legal Sector Technical and Complementary Staff Assessment and Workshop,4/30/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"421,200.00",Albay,3,Day/s,1,Region Wide Legal Sector Assessment,Food and Accommodation,1,Package,"421,200.00",NULL,5/3/2018,Awarded,1845100,Region Wide Legal Sector Assessment,Award Notice,90110000,Hotels and lodging and meeting facilities,NINONG HOTEL,"370,700.00",Bac 18-081 Legal,5/22/2018,5/11/2018,5/11/2018,5/16/2018,5/18/2018,LCRB,Updated
118164,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5340902,Survey Module Lot 1-5-AL-2018 (NL &CC),SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN ELEVEN (11) MUNICIPALITIES OF THE PROVINCE OF ALBAY,5/9/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,517,079.60",Albay,90,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,5/21/2018,5/22/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123302,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5344561,Catering Services (2nd Sem 2018),"Catering Services at DAR-Albay Provincial Office for the Period of July 1, 2018 to December 31, 2018",5/10/2018,Goods - General Support Services,Invitation to Bid (ITB),Catering Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,448,000.00",Albay,6,Month/s,1,Catering Services (2nd Sem 2018),2nd Semester of 2018,1,Package,"2,448,000.00",5/18/2018,5/31/2018,Awarded,1898780,Catering Services (2nd Sem 2018),Award Notice,90101603,Catering services,BALLARBARE CATERING SERVICES,"2,298,000.00",Catering 2nd Sem 2018,7/6/2018,6/25/2018,7/1/2018,7/1/2018,12/31/2018,LCRB,Updated
141245,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5356700,BAC 18-134 Opns,LTSP Performance Review cum Planning Workshop,5/17/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"123,200.00",Albay,2,Day/s,1,LTSP Performance Review cum Planning Workshop,Food and Accommodation,1,Package,"123,200.00",NULL,5/21/2018,Awarded,1876210,LTSP Performance Review cum Planning Workshop,Award Notice,90110000,Hotels and lodging and meeting facilities,SABANDO OCAMPO BEACH RESORT,"99,000.00",18-134 Opns,6/19/2018,5/22/2018,5/24/2018,5/24/2018,5/25/2018,LCRB,Updated
141578,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5356861,Survey Modules Lot 1-5-AL-2018,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LAND OWNERSHIP AWARD (CLOAs) AND NEW LANDS IN ELEVEN (11) MUNICIPALITIES OF THE PROVINCE OF ALBAY,5/17/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,493,393.40",Albay,90,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,5/28/2018,5/29/2018,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146066,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5360012,BAC 18-135 PBDD,2018 1st Quarter PBDD-ARBDSP Review and Planning Session (RPS),5/18/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"79,800.00",Albay,2,Day/s,1,2018 1st Qrt PBDD-ARBDSP RPS,Food and Accommodation,1,Package,"78,900.00",NULL,5/21/2018,Awarded,1875765,2018 1st Qrt PBDD-ARBDSP RPS,Award Notice,90110000,Hotels and lodging and meeting facilities,PUERTO VISTA RESORT,"58,410.00",18-135-PBDD,6/19/2018,5/22/2018,5/24/2018,5/24/2018,5/25/2018,LCRB,Updated
165002,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5372696,BAC 18-122 PBDD,Starter Kit/Basic Farm Tools (VLFED),5/24/2018,Goods,Request for Quotation (RFQ),Agricultural Machinery and Equipment,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"60,000.00",Albay,0,Day/s,1,Starter Kit/Basic Farm Tools (VLFED),"Vermi Tea brewer, Molasses and Night crawlers",1,Package,"60,000.00",NULL,5/28/2018,Awarded,1894961,Starter Kit/Basic Farm Tools (VLFED),Award Notice,21000000,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,GUINOBATAN STARBREED PLANT NURSERY,"60,000.00",BAC 18-122 PBDD,7/4/2018,6/20/2018,6/19/2018,6/19/2018,7/19/2018,LCRB,Updated
